TIME =  0.26352E+07 NSTEP =       129601

 SPECIES   MOLECULES/CM^3  PPB
CCARB12    0.00000E+00 0.00000E+00
ANHY       2.35884E+06 5.12256E-04
TNCARB15   0.00000E+00 0.00000E+00
RAROH14    1.41027E+05 3.06262E-05
ARNOH14    9.64358E+06 2.09425E-03
RAROH17    7.50075E-01 1.62890E-10
ARNOH17    5.99100E+04 1.30104E-05
PAN        5.33237E+08 1.15800E-01
PPN        3.73899E+05 8.11977E-05
PHAN       3.37393E+05 7.32698E-05
RU12PAN    1.41432E+00 3.07140E-10
MPAN       1.50411E+01 3.26639E-09
RTN26PAN   0.00000E+00 0.00000E+00
P2604      0.00000E+00 0.00000E+00
P4608      0.00000E+00 0.00000E+00
P2631      0.00000E+00 0.00000E+00
P2635      0.00000E+00 0.00000E+00
P4610      0.00000E+00 0.00000E+00
P2605      0.00000E+00 0.00000E+00
P2630      0.00000E+00 0.00000E+00
P2629      0.00000E+00 0.00000E+00
P2632      0.00000E+00 0.00000E+00
P2637      0.00000E+00 0.00000E+00
P3612      6.37505E+05 1.38444E-04
P3613      1.48790E+04 3.23120E-06
P3442      1.41525E+06 3.07343E-04
CH3O2NO2   1.27065E+06 2.75940E-04
EMPOA      0.00000E+00 0.00000E+00
P2007      0.00000E+00 0.00000E+00
DUMMY      0.00000E+00 0.00000E+00
